observed_ts,event_ts,route_id,stop_id,stop_name,headway_sec,label,incident_id,incident_title,incident_note,precipitation_mm,weather_severity,service_alert_active,service_alert_severity
2026-02-05T11:00:00+00:00,2026-02-05T11:01:20+00:00,A,A15N,125 St,224.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:00:00+00:00,2026-02-05T11:01:08+00:00,A,A27N,59 St - Columbus Circle,194.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:00:00+00:00,2026-02-05T11:01:44+00:00,F,F20N,Bergen St,284.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:00:00+00:00,2026-02-05T11:01:28+00:00,F,F09N,Jay St - MetroTech,244.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:00:00+00:00,2026-02-05T11:01:12+00:00,7,726N,Queensboro Plaza,204.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:00:00+00:00,2026-02-05T11:01:20+00:00,7,705N,74 St - Broadway,224.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:05:00+00:00,2026-02-05T11:06:28+00:00,A,A15N,125 St,232.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:05:00+00:00,2026-02-05T11:06:16+00:00,A,A27N,59 St - Columbus Circle,202.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:05:00+00:00,2026-02-05T11:06:52+00:00,F,F20N,Bergen St,292.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:05:00+00:00,2026-02-05T11:06:36+00:00,F,F09N,Jay St - MetroTech,252.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:05:00+00:00,2026-02-05T11:06:20+00:00,7,726N,Queensboro Plaza,212.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:05:00+00:00,2026-02-05T11:06:28+00:00,7,705N,74 St - Broadway,232.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:10:00+00:00,2026-02-05T11:11:36+00:00,A,A15N,125 St,240.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:10:00+00:00,2026-02-05T11:11:24+00:00,A,A27N,59 St - Columbus Circle,210.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:10:00+00:00,2026-02-05T11:12:00+00:00,F,F20N,Bergen St,300.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:10:00+00:00,2026-02-05T11:11:44+00:00,F,F09N,Jay St - MetroTech,260.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:10:00+00:00,2026-02-05T11:11:28+00:00,7,726N,Queensboro Plaza,220.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:10:00+00:00,2026-02-05T11:11:36+00:00,7,705N,74 St - Broadway,240.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:15:00+00:00,2026-02-05T11:16:44+00:00,A,A15N,125 St,248.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:15:00+00:00,2026-02-05T11:16:32+00:00,A,A27N,59 St - Columbus Circle,218.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:15:00+00:00,2026-02-05T11:17:08+00:00,F,F20N,Bergen St,308.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:15:00+00:00,2026-02-05T11:16:52+00:00,F,F09N,Jay St - MetroTech,268.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:15:00+00:00,2026-02-05T11:16:36+00:00,7,726N,Queensboro Plaza,228.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:15:00+00:00,2026-02-05T11:16:44+00:00,7,705N,74 St - Broadway,248.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:20:00+00:00,2026-02-05T11:21:52+00:00,A,A15N,125 St,256.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:20:00+00:00,2026-02-05T11:21:40+00:00,A,A27N,59 St - Columbus Circle,226.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:20:00+00:00,2026-02-05T11:22:16+00:00,F,F20N,Bergen St,316.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:20:00+00:00,2026-02-05T11:22:00+00:00,F,F09N,Jay St - MetroTech,276.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:20:00+00:00,2026-02-05T11:21:44+00:00,7,726N,Queensboro Plaza,236.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:20:00+00:00,2026-02-05T11:21:52+00:00,7,705N,74 St - Broadway,256.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:25:00+00:00,2026-02-05T11:27:00+00:00,A,A15N,125 St,264.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:25:00+00:00,2026-02-05T11:26:48+00:00,A,A27N,59 St - Columbus Circle,234.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:25:00+00:00,2026-02-05T11:27:24+00:00,F,F20N,Bergen St,324.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:25:00+00:00,2026-02-05T11:27:08+00:00,F,F09N,Jay St - MetroTech,284.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:25:00+00:00,2026-02-05T11:26:52+00:00,7,726N,Queensboro Plaza,244.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:25:00+00:00,2026-02-05T11:27:00+00:00,7,705N,74 St - Broadway,264.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:30:00+00:00,2026-02-05T11:31:20+00:00,A,A15N,125 St,224.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:30:00+00:00,2026-02-05T11:31:08+00:00,A,A27N,59 St - Columbus Circle,194.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:30:00+00:00,2026-02-05T11:31:44+00:00,F,F20N,Bergen St,284.0,0,,,,0.0,0.0,0.0,0.0
2026-02-05T11:30:00+00:00,2026-02-05T11:31:28+00:00,F,F09N,Jay St - MetroTech,244.0,0,,,,0.0,0.0,0.0,0.0
